,index,comment,label
0,0,mới mua máy này tại thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe_sóng ổn_định giá_thành vừa với túi_tiền nhân_viên tư_vấn nhiệt_tình,"[ 1.  1.  1.  0.  0.  1.  1.  0.  1.  0.  2.  2.  2. -1. -1.  2.  2. -1.
  2. -1.]"
1,1,pin kém còn lại miễn chê mua tình_trạng pin còn có ai giống tôi không,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  2. -1. -1.
 -1. -1.]"
2,2,sao lúc gọi điện_thoại màn_hình bị chấm nhỏ nháy gần camera trước vậylúc có lúc không,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
3,3,mọi người cập_nhật phần_mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng ok nhưng vân tay ko nhạy,"[ 0.  1.  1.  0.  0.  1.  0.  0.  0.  0. -1.  0.  1. -1. -1.  1. -1. -1.
 -1. -1.]"
4,4,mới mua sài được tháng thấy pin rất trâu sài bao mượt nhưng có lỗi nhỏ là mình nghe nhạc bằng tai_nghe nghe hơi lâu ko biết sao nó ko nghe được nữa mất rút tai_nghe_ra cắm vào lại thì nó mới nghe được,"[ 0.  0.  1.  1.  0.  0.  0.  0.  1.  0. -1. -1.  2.  2. -1. -1. -1. -1.
  0. -1.]"
5,5,xài tốt rất mượt pin trâu nếu các bạn để độ sáng vừa đủ nhân_viên nhiệt_tình vui_vẻ nói_chung là tầm giá này thì máy này là quá tốt rồi,"[ 0.  0.  1.  1.  0.  1.  1.  0.  1.  0. -1. -1.  1.  2. -1.  2.  1. -1.
  2. -1.]"
6,6,mình mới xài được tháng xuống pin chả hiểu máy mới kiểu gì nữa dùng cơ_bản lướt web cơ_bản game ko chơi,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
7,7,hôm_qua_ngày e ra thế_giới di_động mua chiếc dthoai galaxy a lúc đầu bên cửa_hàng báo_giá đ được tặng phiếu mua hàng k lúc thanh_toán thì nhân_viên lại thanh_toán đ không có phiếu mua hàng đi km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến có xin_lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng k chán quá đúng là làm mất thời_gian,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0. -1. -1. -1. -1. -1. -1. -1. -1.
  0. -1.]"
8,8,tại_sao điện_thoại mới mà sạc nó nóng máy lên quá trời t đã tắt tất_cả mạng ứng dung game và cấm ko cho chạy nền cũng ko vừa sạc vừa dùng mà điện_thoại nóng quá trời sạc tiếng mới đầy,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
9,9,lúc đầu định mua samsung vào shop nhân_viên tư_vấn oppo a thất_vọng thực_sự khi dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vl sạc thì lâu k bao_giờ dungg oppo nữa,"[ 0.  0.  1.  1.  0.  0.  0.  1.  1.  0. -1. -1.  0.  0. -1. -1. -1.  0.
  0. -1.]"
